school,conference,season,player,avg,gp,ab,r,h,2b,3b,hr,rbi,bb,so,sb,obp,slg
Western Connecticut State University,Little East,2022,"McGuire, Brady",0.0,1-0,1,0,0,0,0,0,0,1,0,0-0,0.5,0.0
Western Connecticut State University,Little East,2022,"Ponzoni, Andy",0.0,1-0,1,0,0,0,0,0,0,0,1,0-0,0.0,0.0
Gordon College,Conference of New England,2026,"Shin, Carter",0.396,35-35,149,28,59,12,0,1,27,9,5,10-12,0.436,0.497
Gordon College,Conference of New England,2026,"Wilbur, Cam",0.354,36-33,127,27,45,6,0,3,20,20,12,2-2,0.458,0.472
Gordon College,Conference of New England,2026,"Wilson, Tyler",0.345,37-37,148,35,51,10,4,1,24,11,37,9-10,0.398,0.486
Gordon College,Conference of New England,2026,"Gracie, Adam",0.286,37-37,140,21,40,6,1,0,25,13,37,2-2,0.365,0.343
Gordon College,Conference of New England,2026,"Ferreira, Aaron",0.285,35-35,130,31,37,8,0,1,23,21,17,4-4,0.384,0.369
Gordon College,Conference of New England,2026,"Massella, CJ",0.259,31-31,112,16,29,1,0,0,17,9,17,18-21,0.346,0.268
Gordon College,Conference of New England,2026,"Fales, Gabe",0.256,35-35,125,30,32,6,2,1,28,14,36,12-12,0.358,0.36
Gordon College,Conference of New England,2026,"Coats, James",0.219,31-29,96,13,21,3,1,0,13,16,27,0-0,0.347,0.271
Gordon College,Conference of New England,2026,"Smith, Cael",0.198,32-28,96,13,19,2,1,1,13,10,19,3-4,0.306,0.271
Gordon College,Conference of New England,2026,"Galipeau, Colby",0.5,9-0,2,0,1,0,0,0,2,1,0,0-0,0.667,0.5
Gordon College,Conference of New England,2026,"King, Blake",0.269,27-19,67,22,18,2,1,1,18,10,15,2-2,0.367,0.373
Gordon College,Conference of New England,2026,"Pichardo, Yandel",0.185,16-7,27,5,5,1,0,0,1,5,8,0-0,0.333,0.222
Gordon College,Conference of New England,2026,"Clarke, Darren",0.179,13-8,28,4,5,1,0,0,6,1,12,0-0,0.25,0.214
Gordon College,Conference of New England,2026,"Pelletier, Michael",0.0,10-0,1,0,0,0,0,0,0,0,0,0-0,0.0,0.0
Gordon College,Conference of New England,2026,"Candelario, Evan",0.0,1-0,1,0,0,0,0,0,0,0,1,0-0,0.0,0.0
Gordon College,Conference of New England,2025,"Wilson, Tyler",0.307,39-39,153,29,47,8,1,2,25,8,39,24-25,0.353,0.412
Gordon College,Conference of New England,2025,"Demers, CJ",0.295,39-39,132,33,39,8,0,3,27,22,22,11-13,0.429,0.424
Gordon College,Conference of New England,2025,"Normandin, Hunter",0.282,36-36,124,22,35,4,1,0,12,21,35,10-11,0.395,0.331
Gordon College,Conference of New England,2025,"Dunkle, Robert",0.261,39-39,119,18,31,5,0,0,21,21,21,8-8,0.429,0.303
Gordon College,Conference of New England,2025,"McIntyre, Jonathan",0.25,39-39,144,21,36,8,3,1,16,18,39,9-11,0.355,0.368
Gordon College,Conference of New England,2025,"Clark, Evan",0.246,31-31,114,18,28,11,1,1,19,6,23,8-8,0.31,0.386
Gordon College,Conference of New England,2025,"Fales, Gabe",0.215,35-34,107,13,23,4,1,0,21,15,37,7-7,0.328,0.271
Gordon College,Conference of New England,2025,"Mercurio, Gianni",0.333,7-1,3,1,1,0,0,0,0,0,0,0-0,0.5,0.333
Gordon College,Conference of New England,2025,"Gracie, Adam",0.273,11-8,22,9,6,0,0,0,1,10,5,2-2,0.5,0.273
Gordon College,Conference of New England,2025,"Marciano, Ben",0.203,29-29,74,7,15,2,0,0,12,12,14,1-1,0.322,0.23
Gordon College,Conference of New England,2025,"Kazlauskas, Joey",0.195,27-24,77,17,15,3,0,1,9,19,38,3-4,0.386,0.273
Gordon College,Conference of New England,2025,"Hitchcock, Jacob",0.176,14-10,34,2,6,1,0,0,4,1,7,0-0,0.194,0.206
Gordon College,Conference of New England,2025,"Blake, Jacob",0.17,19-15,47,7,8,3,0,0,3,10,15,0-0,0.35,0.234
Gordon College,Conference of New England,2025,"Pichardo, Yandel",0.167,3-1,6,1,1,0,0,0,0,1,3,0-0,0.286,0.167
Gordon College,Conference of New England,2025,"Carl, Alex",0.167,5-2,6,2,1,0,0,1,2,1,4,0-0,0.286,0.667
Gordon College,Conference of New England,2025,"Coats, James",0.077,10-2,13,1,1,0,1,0,0,0,5,0-0,0.143,0.231
Gordon College,Conference of New England,2025,"Fonck, Tyler",0.063,6-3,16,2,1,1,0,0,0,2,3,1-2,0.167,0.125
Gordon College,Conference of New England,2024,"Demers, CJ",0.341,39-39,138,37,47,14,1,10,35,23,17,6-7,0.462,0.674
Gordon College,Conference of New England,2024,"Hartman, Andrew",0.333,37-37,126,24,42,9,0,3,27,23,20,2-2,0.444,0.476
Gordon College,Conference of New England,2024,"McIntyre, Jonathan",0.277,33-33,119,25,33,6,0,0,22,8,21,3-5,0.386,0.328
Gordon College,Conference of New England,2024,"Kazlauskas, Joey",0.258,30-27,89,12,23,5,0,4,17,8,25,1-2,0.395,0.449
Gordon College,Conference of New England,2024,"Razzaboni, Alex",0.228,39-39,145,12,33,5,0,1,23,9,22,0-0,0.272,0.283
Gordon College,Conference of New England,2024,"Cody, Dalton",0.222,36-35,117,18,26,6,0,1,16,15,34,6-7,0.316,0.299
Gordon College,Conference of New England,2024,"Mercurio, Gianni",0.185,31-15,54,7,10,0,0,1,3,9,17,2-2,0.313,0.241
Gordon College,Conference of New England,2024,"Rivera, Ismael",0.375,8-2,8,1,3,0,0,0,2,1,2,1-1,0.5,0.375
Gordon College,Conference of New England,2024,"Blake, Jacob",0.303,26-20,76,15,23,3,0,0,6,10,24,1-2,0.404,0.342
Gordon College,Conference of New England,2024,"Dunkle, Robert",0.237,27-23,76,11,18,2,0,0,8,4,7,2-2,0.318,0.263
Gordon College,Conference of New England,2024,"Iverson, Kendrick",0.207,13-10,29,3,6,0,0,0,2,4,11,0-1,0.303,0.207
Gordon College,Conference of New England,2024,"Melendez, David",0.186,25-19,59,8,11,1,0,0,7,6,18,1-1,0.315,0.203
Gordon College,Conference of New England,2024,"Clark, Evan",0.185,18-16,54,15,10,2,0,2,8,7,12,1-1,0.286,0.333
Gordon College,Conference of New England,2024,"Figueroa, AJ",0.18,22-22,61,6,11,2,1,0,8,15,11,1-1,0.351,0.246
Gordon College,Conference of New England,2024,"Galipeau, Colby",0.167,14-4,12,2,2,0,0,0,0,2,7,0-0,0.286,0.167
Gordon College,Conference of New England,2024,"Coats, James",0.14,17-10,43,4,6,2,0,0,1,5,15,0-1,0.26,0.186
Gordon College,Conference of New England,2024,"Hitchcock, Jacob",0.0,2-0,1,0,0,0,0,0,1,0,1,0-1,0.5,0.0
Gordon College,Conference of New England,2024,"Carl, Alex",0.0,1-0,0,0,0,0,0,0,0,0,0,0-0,1.0,0.0
Gordon College,Conference of New England,2023,"Demers, CJ",0.353,39-39,139,42,49,8,1,5,30,24,19,8-8,0.471,0.532
Gordon College,Conference of New England,2023,"Demers, Shane",0.336,39-39,149,39,50,13,0,4,34,25,30,6-7,0.442,0.503
Gordon College,Conference of New England,2023,"Hartman, Andrew",0.315,39-39,146,34,46,12,2,3,31,18,28,2-3,0.409,0.486
Gordon College,Conference of New England,2023,"Chase, Ben",0.3,36-36,120,25,36,8,4,1,16,34,48,9-11,0.459,0.458
Gordon College,Conference of New England,2023,"Cody, Dalton",0.288,39-39,132,27,38,9,1,2,25,31,27,15-16,0.425,0.417
Gordon College,Conference of New England,2023,"McIntyre, Jonathan",0.258,36-34,132,26,34,4,2,0,18,15,24,12-12,0.359,0.318
Gordon College,Conference of New England,2023,"Dunkle, Robert",0.228,34-31,92,13,21,1,2,0,23,18,28,0-0,0.39,0.283
Gordon College,Conference of New England,2023,"Mercurio, Gianni",0.203,34-22,79,13,16,4,1,1,11,12,33,2-2,0.319,0.316
Gordon College,Conference of New England,2023,"Melendez, David",0.25,29-24,88,10,22,2,0,1,6,9,25,4-5,0.337,0.307
Gordon College,Conference of New England,2023,"Ensign, James",0.222,4-3,9,0,2,1,0,0,1,1,2,0-1,0.3,0.333
Gordon College,Conference of New England,2023,"Blake, Jacob",0.19,14-4,21,2,4,1,0,0,4,4,13,0-0,0.32,0.238
Gordon College,Conference of New England,2023,"Simpson, Hunter",0.148,26-21,61,8,9,1,1,1,11,7,36,2-2,0.246,0.246
Gordon College,Conference of New England,2023,"McSally, Ryan",0.123,28-18,65,4,8,2,0,0,4,3,25,0-0,0.162,0.154
Gordon College,Conference of New England,2023,"Rivera, Ismael",0.1,13-2,10,3,1,0,0,0,0,3,3,3-4,0.308,0.1
Gordon College,Conference of New England,2023,"Carl, Alex",0.0,1-0,1,0,0,0,0,0,0,0,0,0-0,0.0,0.0
Gordon College,Conference of New England,2022,"McIntyre, Jonathan",0.341,35-35,126,25,43,8,0,0,7,9,17,7-8,0.426,0.405
Gordon College,Conference of New England,2022,"Demers, Shane",0.327,35-34,113,31,37,10,0,4,23,25,19,4-6,0.458,0.522
Gordon College,Conference of New England,2022,"Tevenan, Patrick",0.298,30-30,104,14,31,3,0,1,21,12,27,7-10,0.375,0.356
Gordon College,Conference of New England,2022,"Cody, Dalton",0.287,35-33,108,18,31,5,1,4,21,15,40,4-6,0.4,0.463
Gordon College,Conference of New England,2022,"Hartman, Andrew",0.28,32-31,107,15,30,2,0,0,15,10,14,4-6,0.347,0.299
Gordon College,Conference of New England,2022,"Dunkle, Robert",0.275,34-33,120,19,33,5,2,3,28,10,21,1-3,0.353,0.425
Gordon College,Conference of New England,2022,"Demers, CJ",0.263,35-35,114,18,30,5,0,1,15,20,19,4-5,0.391,0.333
Gordon College,Conference of New England,2022,"Paquette, Evan",0.259,11-5,27,3,7,3,0,0,4,2,12,0-0,0.3,0.37
Gordon College,Conference of New England,2022,"Coyne-Martinez, Gabe",0.255,21-17,55,8,14,2,0,1,3,1,22,1-2,0.281,0.345
Gordon College,Conference of New England,2022,"Blake, Jacob",0.231,10-3,13,2,3,0,0,0,1,2,7,0-0,0.313,0.231
Gordon College,Conference of New England,2022,"Coyne-Martinez, Jalen",0.215,24-20,65,5,14,3,0,0,3,2,9,1-2,0.261,0.262
Gordon College,Conference of New England,2022,"Melendez, David",0.19,13-4,21,1,4,0,0,0,3,1,8,0-0,0.227,0.19
Gordon College,Conference of New England,2022,"Popovitch, Josh",0.173,23-16,52,8,9,3,0,2,7,6,33,0-0,0.259,0.346
Gordon College,Conference of New England,2022,"Destino, Tucker",0.167,17-10,30,4,5,1,0,0,5,3,14,0-0,0.235,0.2
Gordon College,Conference of New England,2022,"Chase, Ben",0.154,18-12,39,5,6,0,1,0,2,8,20,1-1,0.298,0.205
Gordon College,Conference of New England,2022,"Routhier, Hunter",0.143,20-14,14,1,2,0,0,0,1,1,5,0-0,0.294,0.143
Gordon College,Conference of New England,2022,"House, Ben",0.0,8-0,7,1,0,0,0,0,0,0,5,0-0,0.125,0.0
Gordon College,Conference of New England,2022,"Rivera, Ismael",0.0,6-0,6,1,0,0,0,0,0,1,3,0-0,0.143,0.0
Gordon College,Conference of New England,2022,"Hitchcock, Jacob",0.0,16-9,2,0,0,0,0,0,0,0,2,0-0,0.0,0.0
Gordon College,Conference of New England,2022,"Carl, Alex",0.0,5-0,2,2,0,0,0,0,0,1,0,0-0,0.6,0.0
University of Hartford,Conference of New England,2026,"Ciccone, Jackson",0.359,33-33,128,27,46,9,2,2,28,15,14,10-11,0.427,0.508
University of Hartford,Conference of New England,2026,"Mangiameli, Jeremy",0.357,33-32,115,32,41,10,0,4,33,15,20,3-5,0.449,0.548
University of Hartford,Conference of New England,2026,"Popovich, Alek",0.331,33-32,133,23,44,12,1,4,30,10,10,1-3,0.378,0.526
University of Hartford,Conference of New England,2026,"Romatzick, JJ",0.304,36-34,138,35,42,7,2,2,24,13,11,10-14,0.401,0.428
University of Hartford,Conference of New England,2026,"DiGioia, Nico",0.3,33-30,110,28,33,6,0,1,17,17,24,7-7,0.394,0.382
University of Hartford,Conference of New England,2026,"Joseph, Patrick",0.287,34-29,94,12,27,2,1,0,11,11,14,0-0,0.393,0.33
University of Hartford,Conference of New England,2026,"Boardman, Cameron",0.267,30-27,86,17,23,3,1,2,18,13,15,4-9,0.449,0.395
University of Hartford,Conference of New England,2026,"Godbee, Zaynn",0.257,29-22,74,15,19,8,1,2,16,11,28,0-0,0.391,0.473
University of Hartford,Conference of New England,2026,"Knight, Ryan",0.216,31-28,88,20,19,4,2,0,16,22,16,4-4,0.405,0.307
University of Hartford,Conference of New England,2026,"Russell, John",0.338,21-17,65,12,22,7,0,3,18,5,8,2-3,0.4,0.585
University of Hartford,Conference of New England,2026,"Godbee, Alyis",0.333,6-2,15,4,5,3,0,0,5,1,5,0-0,0.389,0.533
University of Hartford,Conference of New England,2026,"Guglielmino, Joe",0.333,5-1,6,4,2,0,0,0,0,2,3,1-1,0.6,0.333
University of Hartford,Conference of New England,2026,"Curtiss, Evin",0.316,9-5,19,7,6,1,1,1,6,5,7,0-0,0.423,0.632
University of Hartford,Conference of New England,2026,"Gaither, Jayden",0.294,9-4,17,3,5,0,0,1,3,1,3,0-0,0.333,0.471
University of Hartford,Conference of New England,2026,"Newman, Sean",0.261,7-5,23,5,6,1,0,0,2,2,4,0-0,0.346,0.304
University of Hartford,Conference of New England,2026,"West, Peyton",0.25,13-5,24,5,6,0,0,0,4,5,4,0-0,0.4,0.25
University of Hartford,Conference of New England,2026,"Kaplan, Josh",0.225,19-12,40,6,9,2,0,0,3,6,8,2-2,0.326,0.275
University of Hartford,Conference of New England,2026,"Shannon, Tyler",0.161,20-16,56,6,9,0,0,2,11,4,24,0-0,0.219,0.268
University of Hartford,Conference of New England,2026,"Melarczik, Jon",0.143,3-1,7,1,1,1,0,0,0,0,3,0-0,0.143,0.286
University of Hartford,Conference of New England,2026,"Schulz, Ben",0.091,14-7,22,3,2,0,2,0,2,8,12,1-1,0.382,0.273
University of Hartford,Conference of New England,2025,"Santiago, Jake",0.411,41-41,163,32,67,12,0,9,35,15,27,10-12,0.47,0.65
University of Hartford,Conference of New England,2025,"Romatzick, JJ",0.385,40-40,169,34,65,10,2,1,36,16,26,11-15,0.443,0.485
University of Hartford,Conference of New England,2025,"Mangiameli, Jeremy",0.35,36-32,117,27,41,10,1,2,17,12,22,6-6,0.436,0.504
University of Hartford,Conference of New England,2025,"Ciccone, Jackson",0.335,42-41,173,31,58,11,2,5,36,12,14,7-9,0.382,0.509
University of Hartford,Conference of New England,2025,"Knight, Ryan",0.32,35-34,122,28,39,13,0,6,24,16,29,5-7,0.41,0.574
University of Hartford,Conference of New England,2025,"Newman, Sean",0.5,4-0,4,4,2,1,0,0,1,1,1,0-0,0.667,0.75
University of Hartford,Conference of New England,2025,"Joseph, Patrick",0.35,24-22,80,18,28,2,0,2,15,9,10,4-4,0.436,0.45
University of Hartford,Conference of New England,2025,"DiGioia, Nico",0.35,16-9,40,10,14,1,1,2,7,5,8,2-3,0.426,0.575
University of Hartford,Conference of New England,2025,"Shannon, Tyler",0.343,27-27,102,19,35,8,2,1,20,5,21,2-2,0.382,0.49
University of Hartford,Conference of New England,2025,"Boardman, Cameron",0.325,23-23,77,17,25,7,1,0,9,5,19,8-9,0.441,0.442
University of Hartford,Conference of New England,2025,"Popovich, Alek",0.316,28-28,117,27,37,8,0,5,24,8,11,2-5,0.359,0.513
University of Hartford,Conference of New England,2025,"West, Peyton",0.313,14-8,32,7,10,1,0,2,13,4,7,1-3,0.385,0.531
University of Hartford,Conference of New England,2025,"Kaplan, Josh",0.25,22-22,84,12,21,2,0,0,17,7,14,5-9,0.308,0.274
University of Hartford,Conference of New England,2025,"Stansfield, Thaire",0.25,3-0,4,1,1,0,0,1,1,0,1,0-0,0.25,1.0
University of Hartford,Conference of New England,2025,"Curtiss, Evin",0.242,15-8,33,10,8,3,1,0,8,12,11,2-2,0.426,0.394
University of Hartford,Conference of New England,2025,"Russell, John",0.227,19-18,66,12,15,1,0,3,15,6,17,3-4,0.325,0.379
University of Hartford,Conference of New England,2025,"Melarczik, Jon",0.2,2-1,5,1,1,0,0,0,1,0,1,0-0,0.167,0.2
University of Hartford,Conference of New England,2025,"Schulz, Ben",0.188,7-6,16,8,3,1,0,1,5,5,10,0-0,0.444,0.438
University of Hartford,Conference of New England,2025,"Godbee, Zaynn",0.17,19-16,53,10,9,1,0,0,3,13,23,1-3,0.357,0.189
University of Hartford,Conference of New England,2025,"Guglielmino, Joe",0.0,4-2,6,4,0,0,0,0,0,5,4,0-1,0.5,0.0
University of Hartford,Conference of New England,2025,"Durland, Jack",0.0,3-0,3,0,0,0,0,0,0,0,1,0-0,0.0,0.0
University of Hartford,Conference of New England,2025,"Godbee, Alyis",0.0,3-0,2,0,0,0,0,0,1,0,1,0-0,0.0,0.0
University of Hartford,Conference of New England,2024,"Santiago, Jake",0.452,27-27,104,24,47,18,3,4,37,8,9,3-4,0.504,0.798
University of Hartford,Conference of New England,2024,"Ciccone, Jackson",0.36,35-35,139,37,50,6,2,1,17,15,5,11-13,0.43,0.453
University of Hartford,Conference of New England,2024,"Kaplan, Josh",0.324,31-30,105,20,34,5,2,0,15,10,16,4-7,0.383,0.41
University of Hartford,Conference of New England,2024,"Mangiameli, Jeremy",0.272,34-34,114,25,31,8,1,4,26,15,17,3-4,0.41,0.465
University of Hartford,Conference of New England,2024,"West, Peyton",0.192,32-29,99,10,19,3,0,0,7,15,9,3-5,0.314,0.222
University of Hartford,Conference of New England,2024,"Popovich, Alek",0.4,17-17,60,15,24,2,2,3,13,14,6,8-8,0.52,0.65
University of Hartford,Conference of New England,2024,"Hinspeter, James",0.386,19-18,70,11,27,2,1,0,7,5,10,4-8,0.449,0.443
University of Hartford,Conference of New England,2024,"Godbee, Alyis",0.333,7-1,9,0,3,1,0,0,1,1,2,0-0,0.4,0.444
University of Hartford,Conference of New England,2024,"Kubis, Stephen",0.321,18-14,53,9,17,3,2,1,12,5,9,1-2,0.419,0.509
University of Hartford,Conference of New England,2024,"Boardman, Cameron",0.31,24-24,84,13,26,8,1,0,14,10,20,6-7,0.434,0.429
University of Hartford,Conference of New England,2024,"Godbee, Zaynn",0.286,25-19,56,16,16,3,0,1,9,20,17,8-8,0.481,0.393
University of Hartford,Conference of New England,2024,"Shannon, Tyler",0.233,21-20,73,14,17,1,0,4,12,7,17,2-3,0.31,0.411
University of Hartford,Conference of New England,2024,"Melendez, Ryan",0.222,20-19,72,10,16,5,0,2,15,7,23,2-2,0.31,0.375
University of Hartford,Conference of New England,2024,"Durland, Jack",0.222,9-2,9,4,2,0,0,0,0,1,5,0-0,0.3,0.222
University of Hartford,Conference of New England,2024,"Bowen, Devin",0.222,6-2,9,3,2,0,0,0,0,3,2,2-2,0.417,0.222
University of Hartford,Conference of New England,2024,"Melarczik, Jon",0.191,16-13,47,7,9,1,0,0,2,6,14,3-4,0.321,0.213
University of Hartford,Conference of New England,2024,"Russell, John",0.185,10-10,27,2,5,0,0,0,1,7,10,2-2,0.389,0.185
University of Hartford,Conference of New England,2024,"Pam, Jackson",0.1,7-6,20,0,2,1,0,0,2,3,6,0-0,0.217,0.15
University of Hartford,Conference of New England,2024,"Guglielmino, Joe",0.0,8-4,17,2,0,0,0,0,0,2,11,0-0,0.15,0.0
University of Hartford,Conference of New England,2023,"Rivera, Noah",0.299,37-37,134,13,40,8,0,2,18,9,27,3-5,0.39,0.403
University of Hartford,Conference of New England,2023,"Kellogg, Devin",0.286,35-35,126,19,36,9,0,3,19,11,23,4-5,0.352,0.429
University of Hartford,Conference of New England,2023,"Chavarria, Martin",0.281,36-35,121,20,34,7,1,1,14,10,26,5-8,0.359,0.38
University of Hartford,Conference of New England,2023,"Engstrom, Harrison",0.277,29-28,94,9,26,1,0,5,14,7,38,1-1,0.373,0.447
University of Hartford,Conference of New England,2023,"Ciccone, Jackson",0.2,30-27,100,7,20,2,0,0,6,6,12,3-7,0.245,0.22
University of Hartford,Conference of New England,2023,"Romatzick, JJ",0.19,37-37,126,20,24,2,2,0,9,17,40,7-7,0.289,0.238
University of Hartford,Conference of New England,2023,"Knight, Ryan",0.144,36-35,104,10,15,5,0,3,10,23,48,3-6,0.316,0.279
University of Hartford,Conference of New England,2023,"Melendez, Ryan",0.27,15-11,37,2,10,2,1,1,3,4,16,0-2,0.357,0.459
University of Hartford,Conference of New England,2023,"Boardman, Cameron",0.208,10-6,24,3,5,0,0,0,0,0,8,1-1,0.24,0.208
University of Hartford,Conference of New England,2023,"Holmes, Tyler",0.197,19-18,66,6,13,2,0,1,6,5,33,1-1,0.264,0.273
University of Hartford,Conference of New England,2023,"Benzinger, Derek",0.175,27-19,63,4,11,2,0,0,4,3,36,1-3,0.206,0.206
University of Hartford,Conference of New England,2023,"Alvarez, Michael",0.143,6-5,14,1,2,1,0,0,3,0,3,1-1,0.143,0.214
University of Hartford,Conference of New England,2023,"Woronick, Joseph  17/43 Woronick, Joseph",0.132,22-22,68,8,9,2,0,2,7,7,26,3-5,0.272,0.25
University of Hartford,Conference of New England,2023,"Santiago, Jake",0.121,13-9,33,5,4,1,0,0,1,6,12,0-0,0.293,0.152
University of Hartford,Conference of New England,2023,"Mangiameli, Jeremy",0.111,11-5,18,1,2,0,0,0,0,3,5,0-1,0.304,0.111
University of Hartford,Conference of New England,2023,"DiGrigoli, Antonio",0.042,10-6,24,0,1,0,0,0,0,2,20,0-0,0.148,0.042
University of Hartford,Conference of New England,2023,"Dooley, Joe",0.0,15-5,1,0,0,0,0,0,0,0,1,0-0,0.0,0.0
University of Hartford,Conference of New England,2022,"Tenney, Derek",0.323,48-47,195,37,63,13,3,10,31,14,32,15-19,0.368,0.574
University of Hartford,Conference of New England,2022,"Cobb Jr., Tremayne",0.311,47-47,183,27,57,14,1,10,47,20,35,15-18,0.382,0.563
University of Hartford,Conference of New England,2022,"Maycock, Ben",0.287,40-39,143,21,41,9,0,7,18,16,41,9-10,0.372,0.497
University of Hartford,Conference of New England,2022,"Burnett, Daniel",0.275,40-40,149,22,41,9,2,7,34,11,29,2-5,0.347,0.503
University of Hartford,Conference of New England,2022,"Cole, Logan",0.2,43-41,140,21,28,7,1,0,11,25,40,4-7,0.347,0.264
University of Hartford,Conference of New England,2022,"Cohoon, Donnie",0.34,33-29,106,25,36,5,2,6,15,13,36,7-11,0.421,0.594
University of Hartford,Conference of New England,2022,"Kellogg, Devin",0.294,31-23,85,15,25,3,0,3,10,6,16,2-4,0.333,0.435
University of Hartford,Conference of New England,2022,"Koziol, Kevin",0.25,37-33,120,20,30,5,1,4,16,16,43,3-5,0.341,0.408
University of Hartford,Conference of New England,2022,"Rivera, Noah",0.243,32-28,111,18,27,2,0,5,15,11,24,1-2,0.333,0.396
University of Hartford,Conference of New England,2022,"Anderson, Brett",0.237,24-14,59,10,14,1,0,2,9,11,20,2-3,0.39,0.356
University of Hartford,Conference of New England,2022,"Woronick, Joseph",0.213,18-10,47,4,10,2,0,1,7,3,14,0-0,0.26,0.319
University of Hartford,Conference of New England,2022,"Chavarria, Martin",0.194,34-27,98,11,19,3,0,1,9,7,27,4-4,0.273,0.255
University of Hartford,Conference of New England,2022,"Knight, Ryan",0.191,22-13,47,5,9,0,1,2,8,9,14,2-2,0.316,0.362
University of Hartford,Conference of New England,2022,"Hawes, Kyle",0.186,25-19,70,4,13,1,0,0,4,14,27,2-3,0.326,0.2
University of Hartford,Conference of New England,2022,"Holmes, Tyler",0.159,20-20,63,11,10,2,0,2,4,16,37,0-1,0.338,0.286
University of Hartford,Conference of New England,2022,"Santiago, Jake",0.134,21-20,67,11,9,2,0,1,4,6,24,0-0,0.237,0.209
Johnson & Wales University (RI),Conference of New England,2026,"Obert, Jack",0.312,39-39,141,39,44,8,2,10,40,30,33,10-10,0.458,0.61
Johnson & Wales University (RI),Conference of New England,2026,"Dwyer, Jack",0.296,30-29,115,15,34,9,0,2,26,11,32,0-0,0.4,0.426
Johnson & Wales University (RI),Conference of New England,2026,"Taveras, Diego",0.285,37-37,130,21,37,5,0,1,21,9,28,0-1,0.383,0.346
Johnson & Wales University (RI),Conference of New England,2026,"Ducey, Ryan",0.269,39-39,145,38,39,7,0,2,27,31,21,6-10,0.419,0.359
Johnson & Wales University (RI),Conference of New England,2026,"Schoenberg, Sam",0.257,34-33,105,25,27,4,2,0,12,18,33,6-7,0.357,0.333
Johnson & Wales University (RI),Conference of New England,2026,"Auren, Jeremy",0.254,37-36,114,26,29,4,0,1,11,24,26,9-12,0.386,0.316
Johnson & Wales University (RI),Conference of New England,2026,"Valdez Jimenez, Jeff",0.222,32-31,108,14,24,6,1,1,16,11,20,3-4,0.351,0.324
Johnson & Wales University (RI),Conference of New England,2026,"McGrath, Kiefer",0.5,3-1,6,2,3,1,0,0,0,1,1,0-0,0.571,0.667
Johnson & Wales University (RI),Conference of New England,2026,"Larco, Bryce",0.5,3-0,6,2,3,0,1,0,0,0,1,0-0,0.5,0.833
Johnson & Wales University (RI),Conference of New England,2026,"Diaz, Yedan",0.398,28-28,113,30,45,2,0,1,21,13,19,4-8,0.485,0.442
Johnson & Wales University (RI),Conference of New England,2026,"Staphos, Dimitri",0.344,19-18,64,21,22,3,1,0,23,10,21,0-0,0.506,0.422
Johnson & Wales University (RI),Conference of New England,2026,"Melanson, Henry",0.276,10-8,29,3,8,1,0,1,4,5,12,1-1,0.4,0.414
Johnson & Wales University (RI),Conference of New England,2026,"Acquisto, Jr., Carlo",0.273,8-4,22,4,6,0,1,0,4,1,6,1-1,0.304,0.364
Johnson & Wales University (RI),Conference of New England,2026,"Hernandez, Justin",0.217,23-20,83,7,18,2,1,2,17,3,20,1-3,0.258,0.337
Johnson & Wales University (RI),Conference of New England,2026,"Rosales, Chris",0.2,15-7,25,7,5,1,0,0,3,3,1,1-1,0.267,0.24
Johnson & Wales University (RI),Conference of New England,2026,"Magill, Corey",0.129,12-8,31,3,4,2,0,0,3,2,19,1-1,0.182,0.194
Johnson & Wales University (RI),Conference of New England,2026,"Melendez, Gianni",0.125,17-13,48,7,6,2,0,0,7,6,21,3-3,0.259,0.167
Johnson & Wales University (RI),Conference of New England,2025,"Juan, Trevor",0.373,36-36,150,38,56,9,1,8,53,15,22,0-0,0.427,0.607
Johnson & Wales University (RI),Conference of New England,2025,"Valdez Jimenez, Jeff",0.31,43-43,171,44,53,8,0,5,42,23,29,7-9,0.433,0.444
Johnson & Wales University (RI),Conference of New England,2025,"Botelho, Xavier",0.31,41-41,142,29,44,6,1,1,24,36,32,0-2,0.464,0.387
Johnson & Wales University (RI),Conference of New England,2025,"Ducey, Ryan",0.304,42-42,161,49,49,10,1,1,32,32,19,8-9,0.446,0.398
Johnson & Wales University (RI),Conference of New England,2025,"Davis, Owen",0.304,40-40,158,26,48,12,0,3,29,20,43,0-0,0.388,0.437
Johnson & Wales University (RI),Conference of New England,2025,"Amero, Zachary",0.298,38-36,114,28,34,6,0,0,22,23,36,0-0,0.474,0.351
Johnson & Wales University (RI),Conference of New England,2025,"Diaz, Yedan",0.291,42-41,134,36,39,5,0,2,27,29,27,4-6,0.433,0.373
Johnson & Wales University (RI),Conference of New England,2025,"Obert, Jack",0.264,43-43,178,44,47,12,1,3,28,32,50,4-4,0.399,0.393
Johnson & Wales University (RI),Conference of New England,2025,"St. Jean, Ryan",0.243,35-32,103,27,25,6,1,0,19,19,29,2-3,0.416,0.32
Johnson & Wales University (RI),Conference of New England,2025,"Coutcher, Alex",1.0,1-0,1,0,1,0,0,0,0,0,0,0-0,1.0,1.0
Johnson & Wales University (RI),Conference of New England,2025,"Magill, Corey",0.333,5-2,9,0,3,0,0,0,0,0,4,0-0,0.333,0.333
Johnson & Wales University (RI),Conference of New England,2025,"Melanson, Henry",0.243,11-10,37,6,9,3,0,2,12,1,12,0-1,0.333,0.486
